pageid,qid,P21,P27,P106,label_en
81245701,Q11319254,['Q44148'],[],[],Tesco Boy
81245798,Q130739350,['Q6581097'],['Q664'],"['Q19842026', 'Q9360140']",Alan Kerr
81245809,Q136430731,['Q6581097'],[],"['Q1028181', 'Q483501']",Nicolai Abracheff
81245900,Q136430730,['Q6581097'],[],['Q2259451'],Charles Carshon
81246162,Q136430793,['Q6581097'],[],['Q43845'],Barry Levites
81246205,Q136430791,['Q6581072'],[],[],Maria Rowena Modesto-San Pedro
81246316,Q125599727,['Q6581097'],['Q869'],['Q10798782'],Kajbhunditt Jaidee
81246634,Q127687775,['Q6581072'],[],['Q2066131'],Alexandra Nouchet
81246738,Q97681081,[],[],['Q1650915'],Linda Godfrey
81246741,Q136430993,['Q6581072'],[],['Q13381689'],Navruza Akhmatova
81246894,Q136430992,['Q6581097'],[],['Q40348'],Benjamin Lepak
81246897,Q136437400,['Q6581072'],[],[],Laura Toenjes
81246908,Q136430990,['Q6581097'],[],['Q937857'],Lukáš Mikulaj
81247023,Q136431070,['Q6581097'],[],['Q4009406'],Kirill Glazyrin
81247169,Q136431065,['Q6581072'],[],['Q33999'],Diana Fairfax
81247174,Q21341133,['Q6581097'],['Q183'],['Q4205432'],Hermann Meinken
81247199,Q27789541,['Q6581072'],[],['Q937857'],Farahiyah Ridzuan
81247210,Q67238986,['Q6581097'],['Q29'],"['Q635734', 'Q201788', 'Q36180']",Juan José Martinena Ruiz
81247299,Q136431180,['Q6581097'],[],[],James Waybern Hall
81247415,Q55209376,['Q6581072'],[],['Q1650915'],
81247679,Q119040327,['Q6581097'],[],['Q1731155'],Fyodor Tertitskiy
81247802,Q136437403,['Q6581072'],[],[],Ashleigh Merchant
81247830,Q136431480,['Q6581097'],[],[],Mohammad Hussain Azad
81247856,Q66663475,['Q6581072'],['Q29'],"['Q82955', 'Q1238570']",Lucía Muñoz Dalda
81247860,Q55238762,['Q6581097'],['Q29'],['Q193391'],Raimundo Bassols
81247896,Q131358477,['Q6581097'],['Q36'],['Q11607585'],
81247933,Q136431477,['Q6581072'],[],[],Eschiva of Montbéliard
81247993,Q136431652,['Q6581097'],[],['Q12299841'],Vinayak Shukla
81248018,Q119188,['Q6581097'],['Q183'],"['Q27349', 'Q1622272']",Otto Walkhoff
81248020,Q136431383,['Q6581072'],['Q145'],['Q3400985'],Angela O'Hagan
81248059,Q136431650,[],[],['Q43845'],Pjerin Fushaj
81248073,Q136431646,['Q6581097'],['Q664'],"['Q47064', 'Q14373094']",Laurie Mills
81248144,Q136431642,['Q6581097'],[],['Q378622'],Suellio Almeida
81248222,Q136431640,['Q6581097'],[],"['Q1650915', 'Q15143191']",
81248233,Q136431641,['Q6581097'],[],['Q3242115'],Abderahmane Arbaji
81248237,Q133175049,['Q6581072'],['Q183'],['Q82955'],Stefanie Blaschka
81248425,Q136416975,['Q6581072'],['Q30'],['Q11338576'],JoAnn Hagen
81248453,Q125918151,['Q6581097'],['Q183'],['Q82955'],Oskar Lipp
81248488,Q13014534,['Q6581072'],['Q884'],"['Q33999', 'Q245068']",Seo Ji-yeon
81248506,Q15431190,['Q6581097'],['Q1032'],"['Q193391', 'Q189290', 'Q82955', 'Q83307']",Mamadou Diallo Sory
81248533,Q136431767,['Q6581097'],[],['Q937857'],Sulaiman Almas
81248574,Q136437398,['Q6581097'],[],[],Kilaparthy Velankanni Satish
81248586,Q61059977,['Q6581097'],['Q41'],['Q937857'],Christos Antoniou
81248604,Q113505102,['Q6581072'],['Q1030'],['Q4610556'],Cassia Sharpley
81248635,Q16570401,['Q6581097'],['Q29'],['Q193391'],Gabriel Ferrán de Alfaro
81248643,Q136463046,[],[],[],Ghasi Ram Majhi
81248785,Q136432732,['Q6581097'],[],[],Vyron Vasileiadis
81248801,Q136431956,['Q6581097'],[],[],Vivek Dahiya
81248897,Q116907852,['Q6581097'],[],['Q937857'],Samuel Bagín
81249016,Q86714246,['Q6581097'],"['Q36', 'Q183']",['Q82955'],Krzysztof Walczak
81249017,Q136432247,['Q6581097'],[],['Q937857'],Adrián Fiala
81249049,Q130284923,['Q6581097'],[],['Q82955'],Valdrack Jaentschke
81249140,Q102450908,['Q6581072'],['Q145'],['Q16278103'],Averil Murphy
81249257,Q136432217,['Q6581097'],['Q36'],['Q486748'],Jan Widlarz
81249264,Q136457640,['Q6581097'],[],['Q628099'],João Brandão
81249278,Q50358553,['Q6581097'],['Q30'],['Q16271064'],Jesse Leland Grismer
